parl_const,parl_const_name,Average max download speed (Mbit/s) for lines <10Mbit/s,Average max download speed (Mbit/s) for lines 10<30Mbit/s,Average max download speed (Mbit/s) for lines 30<100Mbit/s,Average max download speed (Mbit/s) for lines 100<300Mbit/s,Average max download speed (Mbit/s) for lines 300<900Mbit/s,Average max download speed (Mbit/s) for lines >=900Mbit/s,Average max upload speed (Mbit/s) for lines <10Mbit/s,Average max upload speed (Mbit/s) for lines 10<30Mbit/s,Average max upload speed (Mbit/s) for lines 30<100Mbit/s,Average max upload speed (Mbit/s) for lines 100<300Mbit/s,Average max upload speed (Mbit/s) for lines 300<900Mbit/s,Average max upload speed (Mbit/s) for lines >=900Mbit/s
S14000086,Glasgow North East,6.6,20.2,65,178,466,1028,1,1.7,16.9,36,104,471
S14000087,Glasgow South,6.9,21.1,67,181,459,1040,1,1.3,17.6,34,95,476
S14000088,Glasgow South West,6.3,20.3,66,168,483,1002,1.1,1.8,17.3,45,133,541
S14000089,Glasgow West,6.7,20.2,66,176,461,1022,0.9,1.8,17.2,37,105,510
E14001247,Glastonbury and Somerton,6.8,22.2,62,186,473,950,0.8,1.6,15,96,344,462
S14000090,Glenrothes and Mid Fife,6.9,20.7,62,194,450,1089,1,1.7,14.6,25,53,114
E14001248,Gloucester,6,21,63,197,441,1075,1,1.8,15.8,27,63,323
E14001249,Godalming and Ash,6.2,21.4,63,173,471,979,0.9,2.2,15,49,129,527
E14001250,Goole and Pocklington,6.6,21.2,60,154,441,952,1,1.8,19.7,99,292,315
S14000091,Gordon and Buchan,7.7,22.6,62,158,502,999,0.6,1.3,14.8,29,70,115
E14001251,Gorton and Denton,6.3,20.1,64,183,460,1075,1.1,2.7,15.6,36,134,292
E14001252,Gosport,6.2,20.6,62,193,447,975,1,2.1,14.7,26,52,593
W07000097,Gower,6.8,21.1,63,184,460,1064,1,1.7,14.9,26,60,123
E14001253,Grantham and Bourne,6.6,21.4,63,186,456,1058,0.9,1.7,15,47,80,269
E14001254,Gravesham,6.2,20.6,63,188,454,1087,0.9,2.2,15,30,77,208
E14001255,Great Grimsby and Cleethorpes,6.9,20.4,63,202,435,1117,0.9,1.4,14.4,24,46,105
E14001256,Great Yarmouth,6.3,20.9,63,183,462,1064,1.2,1.9,15.2,27,60,199
E14001257,Greenwich and Woolwich,6.8,21.4,67,175,480,1016,1.3,1.8,16,69,225,678
E14001258,Guildford,6.2,21.5,66,193,453,1078,0.9,1.9,15.7,26,57,124
E14001259,Hackney North and Stoke Newington,5.9,21.1,65,182,456,1041,1.1,2.1,15.9,51,158,608
E14001260,Hackney South and Shoreditch,5.9,21.4,68,171,470,1017,1,1.4,16.6,72,249,780
E14001261,Halesowen,6.5,20,62,194,451,1094,1.1,2,14.4,38,149,402
E14001262,Halifax,6.3,20.8,63,192,453,1089,1.1,2,15.3,39,135,349
E14001263,Hamble Valley,6.3,20.7,63,192,454,1035,1,2,15.1,27,59,343
S14000092,Hamilton and Clyde Valley,6.6,20.4,62,195,452,1093,1,1.8,14.5,25,55,142
E14001264,Hammersmith and Chiswick,6.6,21.5,69,180,455,1024,1.1,1.4,16.6,65,238,708
E14001265,Hampstead and Highgate,6.5,21.7,70,192,436,1044,1.1,1.3,17.2,39,139,479
E14001266,"Harborough, Oadby and Wigston",6.6,20.7,64,187,456,1050,1.1,1.7,15.9,29,82,402
E14001267,Harlow,6.3,22,61,204,441,1095,0.9,1.7,14.2,32,124,177
E14001268,Harpenden and Berkhamsted,6.3,21.9,65,192,456,1070,1,1.6,15.6,27,66,173
E14001269,Harrogate and Knaresborough,6.8,22,66,180,460,1029,0.9,1.2,17.4,31,80,393
E14001270,Harrow East,6.7,20.8,65,194,457,1082,1.2,2.1,15.8,41,124,627
E14001271,Harrow West,6.7,20.5,67,193,457,1072,1.4,2,16.2,47,152,685
E14001272,Hartlepool,6.1,21.2,63,192,448,1063,0.9,1.3,16.3,28,65,389
E14001273,Harwich and North Essex,6.7,22.1,62,171,456,1012,0.8,1.6,15.3,58,265,483
E14001274,Hastings and Rye,6.5,20.4,63,159,491,1050,1.1,2.2,15.2,41,134,434
E14001275,Havant,6.7,20.5,62,195,447,1042,1.1,2.1,15.2,28,61,566
E14001276,Hayes and Harlington,6.1,20.7,66,186,465,1063,1.1,1.5,15.8,38,112,520
E14001277,Hazel Grove,6.4,20.4,62,195,452,1097,0.9,1.6,14.8,30,98,234
E14001278,Hemel Hempstead,6.2,21.3,64,190,456,1012,1,2.3,15.1,31,81,415
E14001279,Hendon,6.3,20.7,66,181,471,1027,1.4,2.3,16,67,215,666
E14001280,Henley and Thame,6.6,22,65,181,482,1036,1,1.9,15.8,104,360,605
E14001281,Hereford and South Herefordshire,6.6,22.5,64,171,534,1060,0.9,1.4,15.5,84,314,605
E14001282,Herne Bay and Sandwich,6.7,21.1,62,167,478,1047,1.1,2.1,14.9,36,113,300
E14001283,Hertford and Stortford,6.7,21.4,65,191,454,1081,1,1.5,15.6,35,116,208
E14001284,Hertsmere,6.4,21.1,64,195,453,1089,1.1,1.9,15.3,34,92,387
E14001285,Hexham,6.6,21.7,62,174,455,1030,0.8,1.7,14.8,35,75,462
E14001286,Heywood and Middleton North,6.5,20,61,186,461,1089,1.1,2.3,14.6,29,84,282
E14001287,High Peak,6.3,21,62,159,526,1062,1,1.9,15,57,230,705
E14001288,Hinckley and Bosworth,6.5,21.4,64,190,453,1078,1.1,2.2,15.3,27,62,237
E14001289,Hitchin,6.5,21.7,64,184,469,1059,1,1.8,15.2,26,60,121
E14001290,Holborn and St Pancras,5.6,22.5,69,183,443,1050,0.8,1,17,54,216,728
E14001291,Honiton and Sidmouth,6.7,21.9,62,161,481,991,0.8,1.4,14.8,63,151,162
E14001292,Hornchurch and Upminster,6.5,20.5,62,190,465,1091,1.1,2,14.9,35,100,488
E14001293,Hornsey and Friern Barnet,6.7,21.8,69,196,442,1088,1.3,1.5,16.6,32,88,398
E14001294,Horsham,6.5,21.6,64,161,477,980,0.9,1.9,15.6,39,112,451
E14001295,Houghton and Sunderland South,6.6,20.7,61,196,444,1092,1,1.8,14.5,25,53,180
E14001296,Hove and Portslade,6.7,20.7,67,190,448,1087,1.3,1.5,16.3,27,58,143
E14001297,Huddersfield,6.4,20.6,64,185,455,1024,1,2.1,19,33,87,549
E14001298,Huntingdon,6.3,20.9,63,187,458,1053,0.9,2.3,15.2,35,153,199
E14001299,Hyndburn,5.8,20.6,62,177,469,1070,1.1,2.3,15,46,187,457
E14001300,Ilford North,5.8,20.4,64,184,469,1080,1,1.8,15.7,40,136,713
E14001301,Ilford South,5.7,20.4,65,185,465,1066,1.1,1.7,15.7,48,168,790
S14000093,Inverclyde and Renfrewshire West,6.4,21,62,198,441,1105,1,1.6,14.3,24,49,113
S14000094,"Inverness, Skye and West Ross-shire",7.4,23,62,156,499,988,0.7,1.5,16.1,37,115,496
E14001302,Ipswich,6.6,20.2,64,181,459,1036,1,1.6,17,31,79,419
E14001303,Isle of Wight East,6.1,21.2,62,141,396,939,1,1.9,15.5,125,366,789
E14001304,Isle of Wight West,6.1,21.1,61,142,399,958,1.2,2,16.8,120,354,727
E14001305,Islington North,6.9,21.2,67,192,442,1037,1,1.1,16.1,42,136,485
E14001306,Islington South and Finsbury,6.8,21.7,68,185,448,1012,0.9,1.2,16.4,57,196,612
E14001307,Jarrow and Gateshead East,6.3,20.6,61,202,438,1088,0.8,1.4,14.5,25,54,264
E14001308,Keighley and Ilkley,6.8,21.5,61,176,468,1079,1.1,1.6,14.5,53,214,451
E14001309,Kenilworth and Southam,6.3,21.8,64,179,465,1029,0.9,1.9,15.4,36,133,224
E14001310,Kensington and Bayswater,6.2,22.2,70,184,434,1026,0.9,1.1,17.1,55,161,574
E14001311,Kettering,6.4,21.3,64,187,457,1040,0.9,1.4,16.6,34,128,410
S14000110,Kilmarnock and Loudoun,6.3,21.2,62,175,468,1049,0.9,2,15.1,27,60,124
E14001312,Kingston and Surbiton,6.5,21.6,67,193,446,1098,1.2,1.6,16.2,38,118,665
E14001313,Kingston upon Hull East,6.4,17.3,40,150,406,958,0.9,8.5,39.3,150,400,747
E14001314,Kingston upon Hull North and Cottingham,6.1,16.1,41,151,404,941,0.8,2.4,40,149,392,678
E14001315,Kingston upon Hull West and Haltemprice,6.2,16.2,41,152,409,916,0.8,1,39.2,151,399,554
E14001316,Kingswinford and South Staffordshire,6.3,21,62,187,476,1079,1.2,2,14.9,50,210,535
E14001317,Knowsley,6.5,20.9,62,186,463,1076,1,1.9,15,26,56,110
N05000009,Lagan Valley,6.2,21.3,63,171,466,1036,0.8,1.5,15.3,28,71,125
E14001318,Lancaster and Wyre,6.7,21.2,63,166,484,1016,0.9,1.6,15.5,28,65,292
E14001319,Leeds Central and Headingley,6.7,21.5,65,183,459,1036,1.1,1.2,17.6,37,103,406
E14001320,Leeds East,6.3,20.4,62,187,459,1064,1.2,1.7,15.4,27,63,214
E14001321,Leeds North East,6.5,20.7,63,188,459,1071,0.8,1.4,15.8,27,59,214
E14001322,Leeds North West,6.7,21.3,62,184,464,1068,1,1.8,14.9,26,57,113
E14001323,Leeds South,6.6,20.4,64,175,470,1015,1.1,1.3,17.9,44,123,550
E14001324,Leeds South West and Morley,6.4,20.8,65,175,470,1021,0.9,1.5,20.3,36,97,515
E14001325,Leeds West and Pudsey,6.6,19.9,66,177,465,1024,0.9,1.7,19.9,35,85,500
E14001326,Leicester East,7.1,20.3,64,189,441,1020,1,1.7,19,29,77,575
E14001327,Leicester South,7.2,21.3,65,191,443,1040,1,1.5,16.8,30,77,485
E14001328,Leicester West,6.6,20,64,191,445,1047,0.9,1.7,17.1,29,72,481
E14001329,Leigh and Atherton,5.8,20,62,189,458,1084,1,2,14.6,26,62,138
E14001330,Lewes,6.8,21.3,62,166,485,1053,1.1,2.2,15,40,151,399
E14001331,Lewisham East,6.2,20.9,65,184,454,1072,1.3,2,15.6,50,164,739
E14001332,Lewisham North,6.6,20.9,66,176,477,1012,1,1.5,15.9,64,216,698
E14001333,Lewisham West and East Dulwich,6.5,21.4,67,180,465,1055,1.2,1.4,16.3,42,131,567
E14001334,Leyton and Wanstead,6.8,21.7,68,190,454,1073,0.9,1.4,16.5,46,165,727
E14001335,Lichfield,6.9,20.9,63,181,469,1059,1.4,2,15.1,27,60,123
E14001336,Lincoln,6.1,21.4,64,191,447,1059,0.9,1.9,16.3,27,67,383
E14001337,Liverpool Garston,6.5,20.7,62,186,464,1073,1.1,1.5,14.9,26,56,113
E14001338,Liverpool Riverside,6.8,21.6,62,180,455,1021,1.1,1.3,14.4,62,147,420
E14001339,Liverpool Walton,6,20,61,194,450,1092,1.1,2,14.4,25,52,108
E14001340,Liverpool Wavertree,6.5,20.5,62,187,459,1081,1.1,1.6,14.9,26,56,118
E14001341,Liverpool West Derby,6.4,20.1,61,187,463,1081,1,1.9,14.7,26,55,111
S14000095,Livingston,6.2,21,62,190,460,1074,1,1.7,14.8,26,58,127
W07000098,Llanelli,6.2,21.1,63,165,490,1021,1,1.8,15.3,29,68,115
S14000096,Lothian East,6.9,21.3,62,165,475,1037,0.9,1.5,15,34,97,185
E14001342,Loughborough,6.3,21.5,63,192,440,1084,1.1,2,15.4,26,56,322
E14001343,Louth and Horncastle,6.8,21.8,63,178,461,1062,0.7,1.4,15.2,51,84,182
E14001344,Lowestoft,5.6,21.5,65,156,481,994,1,2.4,17.3,36,105,526
E14001345,Luton North,5.9,20.3,62,198,442,1082,1,3.3,14.9,26,57,268
E14001346,Luton South and South Bedfordshire,6,21.1,65,191,447,1055,1,2.2,16.3,30,80,451
E14001347,Macclesfield,6.8,21.1,63,189,456,1079,0.9,1.9,15.1,26,57,118
E14001348,Maidenhead,6.2,21,63,181,465,1023,1,2.4,15.9,50,209,589
E14001349,Maidstone and Malling,6.6,21.4,64,190,451,1069,1,1.6,15.4,32,96,256
E14001350,Makerfield,6.7,20.2,60,197,451,1097,1.1,1.8,14.1,28,70,190
E14001351,Maldon,6.7,21.4,62,161,480,1009,1.2,2.2,15,37,119,277
E14001352,Manchester Central,6.9,21.4,62,167,483,969,1.1,1.2,14.1,83,232,554
E14001353,Manchester Rusholme,6.2,20.9,65,179,469,1021,1.6,1.9,15.5,73,231,588
E14001354,Manchester Withington,6.5,20.8,66,185,457,1083,1.1,1.9,15.8,44,192,439
E14001355,Mansfield,6.4,19.9,62,198,438,1104,1.1,2.1,14.6,24,50,116
E14001356,Melksham and Devizes,6.8,21,62,182,470,1038,1.2,2.1,15,41,179,253
E14001357,Melton and Syston,6.6,21.7,63,188,453,1057,1,1.8,15.4,29,73,317
E14001358,Meriden and Solihull East,6.7,21.6,65,189,456,1062,1.1,1.5,15.9,30,80,308
W07000099,Merthyr Tydfil and Aberdare,5.8,20.6,63,155,498,993,1,1.9,15.5,29,70,115
W07000100,Mid and South Pembrokeshire,7,22,65,173,448,959,0.9,1.7,15.6,24,54,108
E14001359,Mid Bedfordshire,6.5,22.3,64,188,462,1066,0.9,1.5,15.4,31,100,154
E14001360,Mid Buckinghamshire,6.9,22.6,64,180,458,1005,0.9,1.8,15.6,80,312,430
E14001361,Mid Cheshire,6.6,20.7,64,159,511,1034,1.1,1.7,15.9,36,148,332
E14001362,Mid Derbyshire,6.5,21,63,185,466,1072,1,1.8,15.5,38,142,372
E14001363,Mid Dorset and North Poole,5.7,20.5,61,189,456,1053,0.9,2.1,14.7,37,107,502
S14000097,Mid Dunbartonshire,6.7,21.5,62,193,454,1071,1,1.4,15.1,28,64,258
E14001364,Mid Leicestershire,6.6,21.5,62,196,440,1071,1.3,1.8,15.1,27,58,314
E14001365,Mid Norfolk,7.1,22.1,62,157,495,1004,1,2,14.9,33,86,236
E14001366,Mid Sussex,6.9,21.3,64,172,479,1000,1.2,2.1,15.5,41,111,460
N05000010,Mid Ulster,7.4,22.5,60,150,434,997,0.6,1.5,14.6,30,91,168
E14001367,Middlesbrough and Thornaby East,6.5,20.1,62,200,439,1087,0.8,1.3,14.6,25,53,279
E14001368,Middlesbrough South and East Cleveland,6.7,21.1,60,200,435,1102,0.8,1.2,13.9,24,48,157
S14000045,Midlothian,6,20.9,61,175,476,1041,0.9,2.5,14.8,30,71,146
E14001369,Milton Keynes Central,5.9,21.5,68,153,507,971,0.8,1.7,21.2,57,212,732
E14001370,Milton Keynes North,5.8,22,66,153,508,969,0.9,1.9,20.1,57,229,722
E14001371,Mitcham and Morden,6.3,20.5,65,186,462,1071,1.3,2.1,15.7,41,134,672
W07000101,Monmouthshire,7.2,22,63,171,458,974,0.8,1.6,15.3,25,57,122
W07000102,Montgomeryshire and Glyndwr,7.6,22.9,64,159,481,1008,0.7,1.2,15.6,29,66,118
S14000098,"Moray West, Nairn and Strathspey",7.2,22.6,61,155,487,1005,0.7,1.4,14.7,33,93,165
E14001372,Morecambe and Lunesdale,6.9,21.2,62,172,477,1018,1.1,2,15,28,62,723
S14000099,"Motherwell, Wishaw and Carluke",6.6,20.7,61,195,455,1095,0.9,2,14.4,25,56,125
S14000027,Na h-Eileanan An Iar,7.7,23.5,60,158,476,999,0.6,1.2,14.3,29,67,115
W07000103,Neath and Swansea East,6.1,21.2,62,190,450,1087,1.1,1.7,14.6,25,53,115
E14001373,New Forest East,6.4,21.2,61,181,465,1058,1.1,2.2,14.7,47,140,409
E14001374,New Forest West,6.6,21.3,61,185,473,1060,1,2.3,14.7,54,144,494
E14001375,Newark,6.2,21.6,64,185,459,1060,0.9,2,15.3,27,63,224
E14001376,Newbury,6.6,21.7,64,184,462,1043,1,1.4,15.9,51,220,218
E14001377,Newcastle upon Tyne Central and West,7,20.9,63,183,450,1044,1.2,1.4,16.6,33,83,440
E14001378,Newcastle upon Tyne East and Wallsend,6.3,20.4,64,181,460,1044,0.9,1.7,16.6,30,72,340
E14001379,Newcastle upon Tyne North,6.9,20.4,65,179,465,1043,1,1.6,16.9,31,69,284
E14001380,Newcastle-under-Lyme,5.9,20.5,62,191,456,1088,1,2.3,14.8,25,54,110
W07000104,Newport East,6.2,20.4,63,186,449,1073,0.9,1.6,15,27,57,127
W07000105,Newport West and Islwyn,6.3,20.7,62,178,471,1039,1,2,15,26,59,150
N05000011,Newry and Armagh,6.9,21.3,61,161,460,1023,0.7,1.4,14.9,29,80,135
E14001381,Newton Abbot,6.6,21.1,61,180,464,1048,1,1.7,14.6,35,79,134
E14001382,Newton Aycliffe and Spennymoor,6.4,20.6,62,172,435,1102,1.2,2.4,14.7,26,51,158
E14001383,Normanton and Hemsworth,6.1,21,62,174,466,1058,1,2,15.2,29,70,165
N05000012,North Antrim,7.2,22.4,63,161,452,1017,0.6,1.2,15.2,29,82,139
S14000048,North Ayrshire and Arran,6.7,21.3,62,169,474,1037,1,1.6,15,28,62,125
E14001384,North Bedfordshire,6.5,22.1,64,181,473,1046,1,1.8,15.4,29,90,137
E14001385,North Cornwall,7.3,22.5,62,163,452,997,0.8,1.3,14.9,35,68,121
E14001386,North Cotswolds,7,22.1,63,198,449,1037,0.7,1,16.4,80,300,359
E14001387,North Devon,7.4,22.8,64,159,453,980,0.8,1.4,15.4,67,153,183
E14001388,North Dorset,6.7,21.5,61,184,482,991,1,2.2,14.8,68,187,284
N05000013,North Down,5.8,20.7,65,177,472,1045,0.9,1.5,15.8,27,63,114
E14001389,North Durham,6.5,20.3,61,181,449,1075,1,2,14.7,27,58,152
E14001390,North East Cambridgeshire,6.8,20.8,63,184,460,1048,1,1.6,15.5,30,75,375
E14001391,North East Derbyshire,6.5,21,61,183,463,1073,1.1,2.5,14.8,33,93,296
S14000100,North East Fife,7.2,21.9,64,168,475,1037,0.9,1.6,15.1,29,65,141
E14001392,North East Hampshire,6.4,21.5,64,191,460,1031,1,2,15.2,32,87,392
E14001393,North East Hertfordshire,6.6,22,64,192,452,1074,1.1,1.5,15.1,29,103,137
E14001394,North East Somerset and Hanham,6.3,22.1,62,192,457,1066,1,1.6,16,56,199,240
E14001395,North Herefordshire,7.3,23,63,172,466,1023,0.6,1.1,15.3,87,316,503
E14001396,North Norfolk,6.9,22,63,159,476,1020,0.9,1.6,15,33,84,162
E14001397,North Northumberland,7,21.7,63,159,481,1016,0.8,1.6,15.2,32,66,129
E14001398,North Shropshire,6.8,21.5,63,157,477,1015,0.8,1.5,15.2,40,137,344
E14001399,North Somerset,6.8,21.7,62,185,469,1040,0.9,1.4,15.2,45,218,275
E14001400,North Warwickshire and Bedworth,6.3,21.2,64,186,453,1075,1.2,2,15.4,26,57,125
E14001401,North West Cambridgeshire,6.3,20.9,65,173,475,994,1,2,17.9,46,191,673
E14001402,North West Essex,6.9,21.9,64,183,466,1004,0.9,1.6,15.4,70,298,349
E14001403,North West Hampshire,6.7,21.1,65,186,466,1063,1,1.9,15.5,30,98,180
E14001404,North West Leicestershire,6.5,21.4,62,192,457,1084,1.3,2.3,14.6,27,60,135
E14001405,North West Norfolk,6.2,21.7,62,158,485,1013,1,1.9,15,36,81,399
E14001406,Northampton North,6.9,19.6,66,183,457,1024,1,1.7,18.3,32,90,530
E14001407,Northampton South,6.3,20.4,66,179,471,1010,0.9,1.6,19.9,36,117,582
E14001408,Norwich North,6.6,20.9,63,183,458,1052,1,2.1,15.7,28,70,286
E14001409,Norwich South,6.6,20.9,63,187,453,1076,1.1,1.9,15.3,26,57,161
E14001410,Nottingham East,6.9,20.8,65,191,446,1074,1,1.4,15.3,32,72,197
E14001411,Nottingham North and Kimberley,6.4,20,63,187,452,1061,1,1.7,16.5,27,64,368
E14001412,Nottingham South,6.6,21,64,191,453,1056,1,1.6,16.4,29,71,336
E14001413,Nuneaton,5.8,20.5,64,194,453,1087,1.2,2.5,15.4,26,56,124
E14001414,Old Bexley and Sidcup,6.3,21,65,181,474,1070,1.1,2.2,15.8,30,75,322
E14001415,Oldham East and Saddleworth,6.3,20.9,63,181,469,1058,1.2,2.3,15.4,27,60,114
E14001416,"Oldham West, Chadderton and Royton",6.2,19.8,63,191,455,1087,1.2,3.4,15,25,54,112
S14000051,Orkney and Shetland,7.8,23,62,159,473,999,0.6,1.1,14.6,29,66,115
E14001417,Orpington,6.6,20.5,62,186,469,1085,1,1.6,14.9,31,84,416
E14001418,Ossett and Denby Dale,6.3,21.2,61,179,457,1050,1.1,2,15.2,32,64,283
E14001419,Oxford East,6.7,21.1,63,201,428,1118,1.3,2.2,15.1,24,48,122
E14001420,Oxford West and Abingdon,6.6,21.7,66,196,442,1083,1.2,1.8,15.9,37,156,201
S14000101,Paisley and Renfrewshire North,6.9,20.8,64,186,459,1042,1.1,1.3,17.4,30,78,398
S14000102,Paisley and Renfrewshire South,6.6,20.8,64,185,457,1033,1,1.4,16.9,30,86,470
E14001421,Peckham,6.5,20.8,66,174,477,1008,0.9,1.3,16.6,66,258,743
E14001422,Pendle and Clitheroe,6.2,21.5,64,171,477,1039,1.2,1.9,15.6,31,77,167
E14001423,Penistone and Stocksbridge,6.4,21.6,61,179,492,1089,1,1.9,14.6,40,202,497
E14001424,Penrith and Solway,7.2,21.9,64,154,474,999,0.7,1.4,15.3,30,94,412
S14000103,Perth and Kinross-shire,6.9,22,63,190,452,1081,0.8,1.5,14.8,25,52,120
E14001425,Peterborough,6.2,21.1,64,176,472,991,1.1,1.9,19.5,42,173,739
E14001426,Plymouth Moor View,6.4,20.1,60,194,448,1083,1,1.9,14.3,26,54,206
E14001427,Plymouth Sutton and Devonport,6.7,21.3,63,193,446,1080,0.9,1.4,15.4,26,59,235
E14001428,"Pontefract, Castleford and Knottingley",5.9,20.2,63,178,473,1060,0.9,2,15.4,27,60,114
W07000106,Pontypridd,6.2,20.2,63,176,466,1055,1,2.1,15.2,27,60,120
E14001429,Poole,6.7,20.6,63,190,443,1046,1.1,1.7,15.6,29,73,572
E14001430,Poplar and Limehouse,6.4,21.5,65,159,496,959,0.9,1.3,14.9,118,392,854
E14001431,Portsmouth North,6.5,21,65,192,444,1038,0.9,1.4,17.1,29,67,636
E14001432,Portsmouth South,6.7,19.8,67,188,443,1028,1,1.5,18.3,30,73,651
E14001433,Preston,6.8,20.6,63,187,450,1061,1.6,2.3,15.6,29,67,300
E14001434,Putney,5.9,21.2,69,171,473,1038,1,1.8,17.7,71,276,804
E14001435,Queen's Park and Maida Vale,5.8,21.2,69,168,471,1014,1,1.6,17.1,85,324,853
E14001436,Rawmarsh and Conisbrough,6.9,20.4,62,191,450,1075,1.1,2.1,15.2,28,70,321
E14001437,Rayleigh and Wickford,6.6,20.4,64,172,479,1029,1,2.2,15.5,32,81,293
E14001438,Reading Central,6.3,20.8,66,182,459,1018,1,1.6,17.8,41,130,581
E14001439,Reading West and Mid Berkshire,6.9,22.3,65,184,452,1013,0.8,1.4,17.8,60,271,584
E14001440,Redcar,6.6,20.3,63,199,440,1092,0.8,1.2,14.9,24,53,236
E14001441,Redditch,6.6,20.7,62,195,448,1102,1,2.1,14.8,30,92,184
E14001442,Reigate,6.4,20.9,63,187,466,1048,1,2,14.9,30,65,229
W07000107,Rhondda and Ogmore,6.1,20.3,63,172,434,1040,1.1,2.5,15.1,24,49,134
E14001443,Ribble Valley,6.6,21.6,62,178,472,1039,1,1.9,14.9,27,61,346
E14001444,Richmond and Northallerton,7.1,22,62,172,534,1055,0.7,1.7,14.9,82,306,603
E14001445,Richmond Park,5.7,22,68,196,443,1092,0.8,1.5,16.3,40,120,532
E14001446,Rochdale,6.6,20.4,64,185,463,1077,1.1,2.5,15.3,38,149,405
E14001447,Rochester and Strood,6.3,20.6,63,187,458,1071,1,2,15,32,82,235
E14001448,Romford,6.1,21,64,192,457,1090,1.1,2.3,15.2,39,117,564
E14001449,Romsey and Southampton North,6.8,21.3,62,192,452,988,0.9,1.8,14.8,26,53,529
E14001450,Rossendale and Darwen,5.9,20.8,63,180,468,1064,1.1,2.3,15,52,207,533
E14001451,Rother Valley,5.9,21.4,61,193,455,1085,1.1,2.2,14.8,36,97,396
E14001452,Rotherham,6.3,20.4,63,182,463,1048,0.9,1.8,16.9,29,77,403
E14001453,Rugby,6.5,21.1,65,182,467,1040,1.1,2.5,16.5,30,76,368
E14001454,"Ruislip, Northwood and Pinner",6.3,20.8,67,193,454,1090,1.2,1.9,16.1,29,74,355
E14001455,Runcorn and Helsby,6.4,21.3,60,186,461,1078,1.2,2.3,14.3,33,88,225
E14001456,Runnymede and Weybridge,6.3,20.7,64,188,458,1063,1,2.1,15.3,32,77,205
E14001457,Rushcliffe,6.6,22,64,191,455,1077,1,1.8,15.2,26,58,133
S14000104,Rutherglen,6.6,20.8,64,191,454,1065,1.1,1.6,16,29,69,311
E14001458,Rutland and Stamford,6.6,21.6,62,174,475,1007,0.9,1.9,15.1,66,226,538
E14001459,Salford,6.7,20.5,61,174,470,1008,1.1,1.5,14.1,76,198,503
E14001460,Salisbury,6.3,22.1,63,177,477,1038,1,1.8,15.1,31,67,118
E14001461,Scarborough and Whitby,6.6,21.5,62,184,451,1074,0.9,1.8,15,31,58,141
E14001462,Scunthorpe,6,21.3,63,186,456,1074,0.9,2.4,15,36,81,133
E14001463,Sefton Central,6.7,20.8,61,184,469,1067,1.1,2.1,14.5,26,58,112
E14001464,Selby,6.2,21.2,62,167,492,1016,0.9,2.1,15.1,69,166,332
E14001465,Sevenoaks,6.5,21.1,62,175,477,1049,1.1,2.2,15,35,117,247
E14001466,Sheffield Brightside and Hillsborough,5.9,19.8,65,183,462,1047,1,2.2,17.2,29,71,351
E14001467,Sheffield Central,6.5,21.8,66,176,465,1020,0.9,1.2,15.7,41,107,308
E14001468,Sheffield Hallam,6.7,21.3,62,174,466,1047,1,2,15.2,29,67,172
E14001469,Sheffield Heeley,6.5,20.9,63,179,459,1043,1,1.9,15.9,31,78,332
E14001470,Sheffield South East,6.6,20.7,66,165,478,1004,1,1.7,19,36,109,552
E14001471,Sherwood Forest,6,21,62,194,450,1090,1.1,2,14.7,27,58,156
E14001472,Shipley,6.4,21.3,62,178,465,1069,0.9,1.8,14.9,45,144,294
E14001473,Shrewsbury,6.5,22,62,168,476,1065,1,1.7,15,46,149,491
E14001474,Sittingbourne and Sheppey,6.1,21.1,63,177,473,1047,1.1,2,15.4,28,61,122
E14001475,Skipton and Ripon,6.9,22.2,62,165,473,1018,0.8,1.5,15,41,68,494
E14001476,Sleaford and North Hykeham,6.7,22.1,63,179,465,1050,0.9,1.7,15.3,40,82,296
E14001477,Slough,6.1,20.5,66,181,467,1021,1.3,2,19.5,38,110,558
E14001478,Smethwick,6.7,20.1,64,190,454,1087,1.2,1.8,15.6,31,84,228
E14001479,Solihull West and Shirley,6.6,20.9,64,185,464,1038,0.9,1.4,17,31,82,380
N05000014,South Antrim,6.7,20.9,63,172,460,1035,0.8,1.5,15.5,28,75,130
E14001480,South Basildon and East Thurrock,6.5,20.1,62,196,453,1087,1.2,2,14.7,27,57,125
E14001481,South Cambridgeshire,6.3,22,64,183,443,1026,1,1.6,16,39,181,440
E14001482,South Cotswolds,7.2,22.2,63,180,463,983,0.9,1.5,15.4,101,354,390
E14001483,South Derbyshire,6.1,21,62,179,471,1053,1,2.3,15.1,28,63,148
E14001484,South Devon,7.1,22.4,61,166,477,1019,0.8,1.5,14.8,36,91,144
E14001485,South Dorset,6.4,21.1,63,160,489,1000,1.1,2,15.3,47,109,212
N05000015,South Down,7.2,22.3,62,151,452,997,0.6,1.2,15.1,30,90,161
E14001486,South East Cornwall,6.6,21.9,61,173,452,1024,0.8,1.5,14.7,37,65,132
E14001487,South Holland and The Deepings,6.8,21.5,61,162,483,1015,0.9,2.1,14.6,77,153,755
E14001488,South Leicestershire,6.3,21.7,64,195,447,1088,1,2.2,15.3,31,99,230
E14001489,South Norfolk,6.7,21.7,62,161,489,1006,1,2.3,15,32,114,159
E14001490,South Northamptonshire,6.6,22.4,66,182,467,970,0.9,1.7,16,104,361,501
